id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
3	australia	-0.2882	-0.8699	4	15	49	42	1114	44.043	2017.5	26.5238	1.0486
4	austria	-0.6379	-0.314	3	8	16	14	203	8.0826	2017.2857	14.5	0.5773
5	belgium	-0.7655	-0.0491	5	12	30	21	407	15.9441	2017.5238	19.381	0.7592
6	brazil	-0.9503	0.2917	5	4	8	6	306	11.2614	2018	51	1.8769
7	canada	0.5191	0.0175	1	21	58	73	1532	64.856	2017.589	20.9863	0.8884
12	czech republic	-0.7246	-0.2733	3	8	8	5	116	5.9552	2018.4	23.2	1.191
13	denmark	0.4037	0.4975	6	7	14	9	127	7.0542	2017.8889	14.1111	0.7838
16	england	-0.4597	0.3317	8	24	122	109	3688	148.1325	2017.3486	33.8349	1.359
17	finland	0.5035	-0.1209	6	10	19	15	253	9.988	2017.5333	16.8667	0.6659
18	france	0.0816	-0.0345	2	18	35	28	659	26.6051	2017.3214	23.5357	0.9502
19	germany	-0.0958	-0.1223	3	22	142	121	4835	189.8825	2017.5289	39.9587	1.5693
23	india	1.1438	-0.0056	1	3	7	19	117	5.0957	2017.5263	6.1579	0.2682
24	iran	0.5259	0.5309	6	5	10	10	396	17.256	2017.6	39.6	1.7256
27	israel	-0.0145	0.164	2	8	15	12	216	8.0331	2017.8333	18	0.6694
28	italy	-0.3775	-0.017	2	16	47	48	947	41.6054	2017.8542	19.7292	0.8668
29	japan	0.8068	-0.0843	1	13	16	38	633	27.0508	2017.3421	16.6579	0.7119
30	malaysia	-0.3751	-1.3133	4	2	2	8	57	2.7559	2017.75	7.125	0.3445
31	netherlands	-0.403	0.4668	2	16	54	39	1555	64.1246	2017.7436	39.8718	1.6442
32	new zealand	-0.3665	-1.2924	4	5	5	5	93	4.6466	2018.6	18.6	0.9293
36	peoples r china	0.2245	-0.357	4	18	100	129	6033	224.0846	2017.7519	46.7674	1.7371
37	poland	0.8706	-0.261	1	5	8	6	127	5.2435	2017.6667	21.1667	0.8739
38	portugal	0.0678	0.8921	7	3	3	8	258	8.9013	2017.375	32.25	1.1127
40	russia	0.781	-0.2411	1	9	11	13	56	2.8215	2017.6923	4.3077	0.217
42	scotland	-0.3206	0.3528	2	9	23	13	504	21.5978	2017.6923	38.7692	1.6614
43	singapore	0.1186	0.5078	7	6	12	8	1235	46.7915	2018.125	154.375	5.8489
45	south africa	-0.9748	0.2306	5	4	6	5	68	2.7333	2017.6	13.6	0.5467
46	south korea	0.2355	0.7276	7	10	23	31	664	29.6686	2017.7419	21.4194	0.9571
47	spain	-0.3919	-0.3515	3	11	25	18	414	15.9179	2017.4444	23	0.8843
49	sweden	-0.318	0.1102	2	7	12	10	195	9.529	2018.4	19.5	0.9529
50	switzerland	-0.2224	-0.2254	2	19	59	40	1088	47.097	2017.625	27.2	1.1774
51	taiwan	1.0302	-0.1822	1	5	12	15	125	5.6677	2017.8667	8.3333	0.3778
54	turkey	1.0974	-0.0231	1	4	4	8	41	2.6059	2018	5.125	0.3257
55	usa	0.1952	0.1203	1	32	278	505	16499	643.0018	2017.6475	32.6713	1.2733
56	wales	-0.9189	0.8962	8	3	7	8	227	10.1072	2017.625	28.375	1.2634
